PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28067177","Recent Advances in Application of Poly-Epsilon-Caprolactone and its Derivative Copolymers for Controlled Release of Anti-Tumor Drugs","Sun Z, Duan R, Xing D, Pang X, Li Z, Chen X.","Curr Cancer Drug Targets. 2017;17(5):445-455. doi: 10.2174/1568009617666170109150430.","Sun Z","Curr Cancer Drug Targets","2017","2017/01/10","","","10.2174/1568009617666170109150430"
"22227024","Multiple drug delivery hydrogel system for spinal cord injury repair strategies","Perale G, Rossi F, Santoro M, Peviani M, Papa S, Llupi D, Torriani P, Micotti E, Previdi S, Cervo L, Sundström E, Boccaccini AR, Masi M, Forloni G, Veglianese P.","J Control Release. 2012 Apr 30;159(2):271-80. doi: 10.1016/j.jconrel.2011.12.025. Epub 2011 Dec 29.","Perale G","J Control Release","2012","2012/01/10","","","10.1016/j.jconrel.2011.12.025"
"34954875","Supramolecular Reinforcement of Polymer-Nanoparticle Hydrogels for Modular Materials Design","Bovone G, Guzzi EA, Bernhard S, Weber T, Dranseikiene D, Tibbitt MW.","Adv Mater. 2022 Mar;34(9):e2106941. doi: 10.1002/adma.202106941. Epub 2022 Jan 25.","Bovone G","Adv Mater","2022","2021/12/26","","","10.1002/adma.202106941"
"34791796","Fabrication of Multiresponsive Magnetic Nanocomposite Double-Network Hydrogels for Controlled Release Applications","Lu CH, Yeh YC.","Small. 2021 Dec;17(52):e2105997. doi: 10.1002/smll.202105997. Epub 2021 Nov 17.","Lu CH","Small","2021","2021/11/18","","","10.1002/smll.202105997"
"27297037","A smart multifunctional drug delivery nanoplatform for targeting cancer cells","Hoop M, Mushtaq F, Hurter C, Chen XZ, Nelson BJ, Pané S.","Nanoscale. 2016 Jul 7;8(25):12723-8. doi: 10.1039/c6nr02228f. Epub 2016 Jun 14.","Hoop M","Nanoscale","2016","2016/06/15","","","10.1039/c6nr02228f"
"29233710","Magnetic field-driven drug release from modified iron oxide-integrated polysaccharide hydrogel","Hu X, Wang Y, Zhang L, Xu M, Zhang J, Dong W.","Int J Biol Macromol. 2018 Mar;108:558-567. doi: 10.1016/j.ijbiomac.2017.12.018. Epub 2017 Dec 9.","Hu X","Int J Biol Macromol","2018","2017/12/14","","","10.1016/j.ijbiomac.2017.12.018"
"40525639","Magnetically Controllable and Degradable Milliscale Swimmers as Intraocular Drug Implants","Yildiz E, Bozuyuk U, Yildiz E, Wang F, Han M, Karacakol AC, Sheehan D, Yu Y, Sitti M.","Adv Sci (Weinh). 2025 Sep;12(34):e07569. doi: 10.1002/advs.202507569. Epub 2025 Jun 17.","Yildiz E","Adv Sci (Weinh)","2025","2025/06/17","PMC12442668","","10.1002/advs.202507569"
"31320096","Taguchi method optimization for synthesis of Fe(3)O(4) @chitosan/Tragacanth Gum nanocomposite as a drug delivery system","Shafiee S, Ahangar HA, Saffar A.","Carbohydr Polym. 2019 Oct 15;222:114982. doi: 10.1016/j.carbpol.2019.114982. Epub 2019 Jun 7.","Shafiee S","Carbohydr Polym","2019","2019/07/20","","","10.1016/j.carbpol.2019.114982"
"33073437","Magneto-Driven Gradients of Diamagnetic Objects for Engineering Complex Tissues","Zlotnick HM, Clark AT, Gullbrand SE, Carey JL, Cheng XM, Mauck RL.","Adv Mater. 2020 Dec;32(48):e2005030. doi: 10.1002/adma.202005030. Epub 2020 Oct 19.","Zlotnick HM","Adv Mater","2020","2020/10/19","PMC7723011","NIHMS1640827","10.1002/adma.202005030"
"38945329","Designing network structure hydrogels derived from carrageenan- phosphated polymers by covalent and supramolecular interactions for potential biomedical applications","Thakur N, Singh B.","Int J Biol Macromol. 2024 Aug;274(Pt 2):133527. doi: 10.1016/j.ijbiomac.2024.133527. Epub 2024 Jun 28.","Thakur N","Int J Biol Macromol","2024","2024/06/30","","","10.1016/j.ijbiomac.2024.133527"
"18606201","Magnetic hydrogel nanocomposites for remote controlled pulsatile drug release","Satarkar NS, Hilt JZ.","J Control Release. 2008 Sep 24;130(3):246-51. doi: 10.1016/j.jconrel.2008.06.008. Epub 2008 Jun 18.","Satarkar NS","J Control Release","2008","2008/07/09","","","10.1016/j.jconrel.2008.06.008"
"39079184","Facile preparation of a pH-sensitive biocompatible nanocarrier based on magnetic layered double hydroxides/Cu MOFs-chitosan crosslinked к-carrageenan for controlled doxorubicin delivery to breast cancer cells","Taghikhani A, Babazadeh M, Davaran S, Ghasemi E.","Colloids Surf B Biointerfaces. 2024 Nov;243:114122. doi: 10.1016/j.colsurfb.2024.114122. Epub 2024 Jul 24.","Taghikhani A","Colloids Surf B Biointerfaces","2024","2024/07/30","","","10.1016/j.colsurfb.2024.114122"
"31297494","Magneto- and photo-responsive hydrogels from the co-assembly of peptides, cyclodextrins, and superparamagnetic nanoparticles","Nowak BP, Ravoo BJ.","Faraday Discuss. 2019 Oct 30;219(0):220-228. doi: 10.1039/c9fd00012g.","Nowak BP","Faraday Discuss","2019","2019/07/13","","","10.1039/c9fd00012g"
"39182875","Production of a magnetic nanocomposite for biological and hyperthermia applications based on chitosan-silk fibroin hydrogel incorporated with carbon nitride","Sadat Z, Kashtiaray A, Ganjali F, Aliabadi HAM, Naderi N, Bani MS, Shojaei S, Eivazzadeh-Keihan R, Maleki A, Mahdavi M.","Int J Biol Macromol. 2024 Nov;279(Pt 1):135052. doi: 10.1016/j.ijbiomac.2024.135052. Epub 2024 Aug 23.","Sadat Z","Int J Biol Macromol","2024","2024/08/25","","","10.1016/j.ijbiomac.2024.135052"
"34044938","Cellulose nanocrystals reinforced highly stretchable thermal-sensitive hydrogel with ultra-high drug loading","Chen T, Yang Y, Peng H, Whittaker AK, Li Y, Zhao Q, Wang Y, Zhu S, Wang Z.","Carbohydr Polym. 2021 Aug 15;266:118122. doi: 10.1016/j.carbpol.2021.118122. Epub 2021 Apr 27.","Chen T","Carbohydr Polym","2021","2021/05/28","","","10.1016/j.carbpol.2021.118122"
"17644206","Nano-ferrosponges for controlled drug release","Hu SH, Liu TY, Liu DM, Chen SY.","J Control Release. 2007 Aug 28;121(3):181-9. doi: 10.1016/j.jconrel.2007.06.002. Epub 2007 Jun 13.","Hu SH","J Control Release","2007","2007/07/24","","","10.1016/j.jconrel.2007.06.002"
"34726686","A smart injectable composite hydrogel with magnetic navigation and controlled glutathione release for promoting in situ chondrocyte array and self-healing in damaged cartilage tissue","Chiang MY, Cheng IY, Chou SH, Tsai JH, Chen YJ, Lu HE, Yang SW, Chang SJ, Chen SY.","J Mater Chem B. 2021 Nov 24;9(45):9370-9382. doi: 10.1039/d1tb02030g.","Chiang MY","J Mater Chem B","2021","2021/11/02","","","10.1039/d1tb02030g"
"27729419","Injectable Shear-Thinning Hydrogels for Minimally Invasive Delivery to Infarcted Myocardium to Limit Left Ventricular Remodeling","Rodell CB, Lee ME, Wang H, Takebayashi S, Takayama T, Kawamura T, Arkles JS, Dusaj NN, Dorsey SM, Witschey WR, Pilla JJ, Gorman JH 3rd, Wenk JF, Burdick JA, Gorman RC.","Circ Cardiovasc Interv. 2016 Oct;9(10):e004058. doi: 10.1161/CIRCINTERVENTIONS.116.004058.","Rodell CB","Circ Cardiovasc Interv","2016","2016/10/13","PMC5123705","NIHMS815764","10.1161/CIRCINTERVENTIONS.116.004058"
"32645501","Novel biocompatible and antimicrobial supramolecular O-carboxymethyl chitosan biguanidine/zinc physical hydrogels","Salama HE, Abdel Aziz MS.","Int J Biol Macromol. 2020 Nov 15;163:649-656. doi: 10.1016/j.ijbiomac.2020.07.029. Epub 2020 Jul 6.","Salama HE","Int J Biol Macromol","2020","2020/07/10","","","10.1016/j.ijbiomac.2020.07.029"
"31306678","Codelivery of paclitaxel and temozolomide through a photopolymerizable hydrogel prevents glioblastoma recurrence after surgical resection","Zhao M, Bozzato E, Joudiou N, Ghiassinejad S, Danhier F, Gallez B, Préat V.","J Control Release. 2019 Sep 10;309:72-81. doi: 10.1016/j.jconrel.2019.07.015. Epub 2019 Jul 12.","Zhao M","J Control Release","2019","2019/07/16","","","10.1016/j.jconrel.2019.07.015"
"32089739","CEST MRI detectable liposomal hydrogels for multiparametric monitoring in the brain at 3T","Han X, Huang J, To AKW, Lai JHC, Xiao P, Wu EX, Xu J, Chan KWY.","Theranostics. 2020 Jan 12;10(5):2215-2228. doi: 10.7150/thno.40146. eCollection 2020.","Han X","Theranostics","2020","2020/02/25","PMC7019148","","10.7150/thno.40146"
"24931340","In situ gelling polyvalerolactone-based thermosensitive hydrogel for sustained drug delivery","Mishra GP, Kinser R, Wierzbicki IH, Alany RG, Alani AW.","Eur J Pharm Biopharm. 2014 Oct;88(2):397-405. doi: 10.1016/j.ejpb.2014.06.004. Epub 2014 Jun 12.","Mishra GP","Eur J Pharm Biopharm","2014","2014/06/17","","","10.1016/j.ejpb.2014.06.004"
"7785981","Quantitation of slow drug release from an implantable and degradable gentamicin conjugate by in vivo magnetic resonance imaging","Weissleder R, Poss K, Wilkinson R, Zhou C, Bogdanov A Jr.","Antimicrob Agents Chemother. 1995 Apr;39(4):839-45. doi: 10.1128/AAC.39.4.839.","Weissleder R","Antimicrob Agents Chemother","1995","1995/04/01","PMC162639","","10.1128/AAC.39.4.839"
"29967941","Combined Used of Rheology and LF-NMR for the Characterization of PVP-Alginates Gels Containing Liposomes","Fanesi G, Abrami M, Zecchin F, Giassi I, Ferro ED, Boisen A, Grassi G, Bertoncin P, Grassi M, Marizza P.","Pharm Res. 2018 Jul 2;35(9):171. doi: 10.1007/s11095-018-2427-0.","Fanesi G","Pharm Res","2018","2018/07/04","","","10.1007/s11095-018-2427-0"
"33359612","Bio-functional hydrogel membranes loaded with chitosan nanoparticles for accelerated wound healing","Shafique M, Sohail M, Minhas MU, Khaliq T, Kousar M, Khan S, Hussain Z, Mahmood A, Abbasi M, Aziz HC, Shah SA.","Int J Biol Macromol. 2021 Feb 15;170:207-221. doi: 10.1016/j.ijbiomac.2020.12.157. Epub 2020 Dec 24.","Shafique M","Int J Biol Macromol","2021","2020/12/28","","","10.1016/j.ijbiomac.2020.12.157"
"31961689","Electrical-Driven Release and Migration of Herbicide Using a Gel-Based Nanocomposite","Zhang L, Chen C, Zhang G, Liu B, Wu Z, Cai D.","J Agric Food Chem. 2020 Feb 12;68(6):1536-1545. doi: 10.1021/acs.jafc.9b07166. Epub 2020 Jan 31.","Zhang L","J Agric Food Chem","2020","2020/01/22","","","10.1021/acs.jafc.9b07166"
"25496011","Biodegradable protein-based rockets for drug transportation and light-triggered release","Wu Z, Lin X, Zou X, Sun J, He Q.","ACS Appl Mater Interfaces. 2015 Jan 14;7(1):250-5. doi: 10.1021/am507680u. Epub 2014 Dec 22.","Wu Z","ACS Appl Mater Interfaces","2015","2014/12/16","","","10.1021/am507680u"
"31475516","Injectable and Quadruple-Functional Hydrogel as an Alternative to Intravenous Delivery for Enhanced Tumor Targeting","Zhang ZQ, Kim YM, Song SC.","ACS Appl Mater Interfaces. 2019 Sep 25;11(38):34634-34644. doi: 10.1021/acsami.9b10182. Epub 2019 Sep 11.","Zhang ZQ","ACS Appl Mater Interfaces","2019","2019/09/03","","","10.1021/acsami.9b10182"
"28862424","Injectable Macroporous Ferrogel Microbeads with a High Structural Stability for Magnetically Actuated Drug Delivery","Shin BY, Cha BG, Jeong JH, Kim J.","ACS Appl Mater Interfaces. 2017 Sep 20;9(37):31372-31380. doi: 10.1021/acsami.7b06444. Epub 2017 Sep 11.","Shin BY","ACS Appl Mater Interfaces","2017","2017/09/02","","","10.1021/acsami.7b06444"
"16800645","Magnetic-sensitive behavior of intelligent ferrogels for controlled release of drug","Liu TY, Hu SH, Liu TY, Liu DM, Chen SY.","Langmuir. 2006 Jul 4;22(14):5974-8. doi: 10.1021/la060371e.","Liu TY","Langmuir","2006","2006/06/28","","","10.1021/la060371e"
"30583002","Synthesis, physicochemical, rheological and in-vitro characterization of double-crosslinked hyaluronic acid hydrogels containing dexamethasone and PLGA/dexamethasone nanoparticles as hybrid systems for specific medical applications","Mousavi Nejad Z, Torabinejad B, Davachi SM, Zamanian A, Saeedi Garakani S, Najafi F, Nezafati N.","Int J Biol Macromol. 2019 Apr 1;126:193-208. doi: 10.1016/j.ijbiomac.2018.12.181. Epub 2018 Dec 21.","Mousavi Nejad Z","Int J Biol Macromol","2019","2018/12/25","","","10.1016/j.ijbiomac.2018.12.181"
"41055887","Functionalizing Injectable Hydrogels with Cobalt-Based Metallacarboranes for Targeted Delivery in Triple-Negative Breast Cancer","Murphy N, González-Gómez R, Ashok N, O'Connell E, Fearnhead H, Tipping WJ, Faulds K, Tong W, Pandit A, Dwyer RM, Graham D, Farràs P.","Chembiochem. 2025 Nov 8;26(21):e202500589. doi: 10.1002/cbic.202500589. Epub 2025 Oct 7.","Murphy N","Chembiochem","2025","2025/10/07","PMC12596922","","10.1002/cbic.202500589"
"24738355","Dual pH and temperature stimuli-responsive magnetic nanohydrogels for thermo-chemotherapy","Jaiswal MK, Pradhan A, Banerjee R, Bahadur D.","J Nanosci Nanotechnol. 2014 Jun;14(6):4082-9. doi: 10.1166/jnn.2014.8662.","Jaiswal MK","J Nanosci Nanotechnol","2014","2014/04/18","","","10.1166/jnn.2014.8662"
"32917007","Towards the Application of Supramolecular Self-Associating Amphiphiles as Next-Generation Delivery Vehicles","White LJ, Boles JE, Hilton KLF, Ellaby RJ, Hiscock JR.","Molecules. 2020 Sep 9;25(18):4126. doi: 10.3390/molecules25184126.","White LJ","Molecules","2020","2020/09/12","PMC7570936","","10.3390/molecules25184126"
"31764934","Dehydropeptide-based plasmonic magnetogels: a supramolecular composite nanosystem for multimodal cancer therapy","Veloso SRS, Martins JA, Hilliou L, O Amorim C, Amaral VS, Almeida BG, Jervis PJ, Moreira R, Pereira DM, Coutinho PJG, Ferreira PMT, Castanheira EMS.","J Mater Chem B. 2020 Jan 7;8(1):45-64. doi: 10.1039/c9tb01900f. Epub 2019 Nov 25.","Veloso SRS","J Mater Chem B","2020","2019/11/26","","","10.1039/c9tb01900f"
"38158473","Magnetic targeting of lornoxicam/SPION bilosomes loaded in a thermosensitive in situ hydrogel system for the management of osteoarthritis: Optimization, in vitro, ex vivo, and in vivo studies in rat model via modulation of RANKL/OPG","Ibrahiem B, Shamma R, Salama A, Refai H.","Drug Deliv Transl Res. 2024 Jul;14(7):1982-2002. doi: 10.1007/s13346-023-01503-8. Epub 2023 Dec 29.","Ibrahiem B","Drug Deliv Transl Res","2024","2023/12/29","PMC11153292","","10.1007/s13346-023-01503-8"
"37956806","Magnetic nanocomposite through coating mannose-functionalized metal-organic framework with biopolymeric pectin hydrogel beads: A potential targeted anticancer oral delivery system","Poursadegh H, Amini-Fazl MS, Javanbakht S, Kazeminava F.","Int J Biol Macromol. 2024 Jan;254(Pt 3):127702. doi: 10.1016/j.ijbiomac.2023.127702. Epub 2023 Nov 11.","Poursadegh H","Int J Biol Macromol","2024","2023/11/13","","","10.1016/j.ijbiomac.2023.127702"
"37797855","Enzymatically crosslinked magnetic starch-grafted poly(tannic acid) hydrogel for ""smart"" cancer treatment: An in vitro chemo/hyperthermia therapy study","Eskandani M, Derakhshankhah H, Zare S, Jahanban-Esfahlan R, Jaymand M.","Int J Biol Macromol. 2023 Dec 31;253(Pt 6):127214. doi: 10.1016/j.ijbiomac.2023.127214. Epub 2023 Oct 4.","Eskandani M","Int J Biol Macromol","2023","2023/10/05","","","10.1016/j.ijbiomac.2023.127214"
"38763711","Carboxymethyl cellulose-based rotigotine nanocrystals-loaded hydrogel for increased transdermal delivery with alleviated skin irritation","Park JS, Seo JH, Jeong MY, Yang IG, Kim JS, Kim JH, Ho MJ, Jin SG, Choi MK, Choi YS, Kang MJ.","Carbohydr Polym. 2024 Aug 15;338:122197. doi: 10.1016/j.carbpol.2024.122197. Epub 2024 Apr 26.","Park JS","Carbohydr Polym","2024","2024/05/19","","","10.1016/j.carbpol.2024.122197"
"26270197","Biocompatible Collagen Paramagnetic Scaffold for Controlled Drug Release","Bettini S, Bonfrate V, Syrgiannis Z, Sannino A, Salvatore L, Madaghiele M, Valli L, Giancane G.","Biomacromolecules. 2015 Sep 14;16(9):2599-608. doi: 10.1021/acs.biomac.5b00829. Epub 2015 Aug 28.","Bettini S","Biomacromolecules","2015","2015/08/14","","","10.1021/acs.biomac.5b00829"
"25029529","The capture and stabilization of curcumin using hydrophobically modified polyacrylate aggregates and hydrogels","Harada T, Pham DT, Lincoln SF, Kee TW.","J Phys Chem B. 2014 Aug 7;118(31):9515-23. doi: 10.1021/jp5060205. Epub 2014 Jul 24.","Harada T","J Phys Chem B","2014","2014/07/17","","","10.1021/jp5060205"
"27474565","Multi-responsive magnetic microsphere of poly(N-isopropylacrylamide)/carboxymethylchitosan hydrogel for drug controlled release","Rodkate N, Rutnakornpituk M.","Carbohydr Polym. 2016 Oct 20;151:251-259. doi: 10.1016/j.carbpol.2016.05.081. Epub 2016 May 24.","Rodkate N","Carbohydr Polym","2016","2016/07/31","","","10.1016/j.carbpol.2016.05.081"
"24721057","Controlled release of tinidazole and theophylline from chitosan based composite hydrogels","Samanta HS, Ray SK.","Carbohydr Polym. 2014 Jun 15;106:109-20. doi: 10.1016/j.carbpol.2014.01.097. Epub 2014 Feb 5.","Samanta HS","Carbohydr Polym","2014","2014/04/12","","","10.1016/j.carbpol.2014.01.097"
"39241931","Dynamic hydrazone crosslinked salecan/chondroitin sulfate hydrogel platform as a promising wound healing Strategy: A comparative study on antibiotic and probiotic delivery","Zhang P, Fan Z, Cheng P, Tian F, Wang Z, Han J.","Int J Pharm. 2024 Nov 15;665:124667. doi: 10.1016/j.ijpharm.2024.124667. Epub 2024 Sep 5.","Zhang P","Int J Pharm","2024","2024/09/06","","","10.1016/j.ijpharm.2024.124667"
"38628083","An investigation of water status in gelatin methacrylate hydrogels by means of water relaxometry and differential scanning calorimetry","Chang CW, Dargaville BL, Momot KI, Hutmacher DW.","J Mater Chem B. 2024 Jul 3;12(26):6328-6341. doi: 10.1039/d4tb00053f.","Chang CW","J Mater Chem B","2024","2024/04/17","","","10.1039/d4tb00053f"
"41148171","Chitosan/Alginate Polyelectrolyte Magnetic Gel Nanoarchitectonics with Tunable Mechanical Properties for Magnetic Hyperthermia and Sustained Release of 5-Fluorouracil","Veloso SRS, Vázquez-González M, Ribeiro MO, Hilliou L, Amorim CO, Amaral VS, Correa-Duarte MA, Castanheira EMS.","ACS Appl Mater Interfaces. 2025 Nov 12;17(45):61731-61741. doi: 10.1021/acsami.5c15863. Epub 2025 Oct 28.","Veloso SRS","ACS Appl Mater Interfaces","2025","2025/10/28","PMC12616591","","10.1021/acsami.5c15863"
"28268748","Electrosynthesis of magnetoresponsive microrobot for targeted drug delivery using calcium alginate","Chengzhi Hu, Riederer K, Klemmer M, Pane S, Nelson BJ.","Annu Int Conf IEEE Eng Med Biol Soc. 2016 Aug;2016:2111-2114. doi: 10.1109/EMBC.2016.7591145.","Chengzhi Hu","Annu Int Conf IEEE Eng Med Biol Soc","2016","2017/03/09","","","10.1109/EMBC.2016.7591145"
"20849345","Magnetic N-succinyl chitosan/alginate beads for carbamazepine delivery","Liu HJ, Li P, Wei Q.","Drug Dev Ind Pharm. 2010 Nov;36(11):1286-94. doi: 10.3109/03639041003758689.","Liu HJ","Drug Dev Ind Pharm","2010","2010/09/21","","","10.3109/03639041003758689"
"31769147","Super-Soft and Super-Elastic DNA Robot with Magnetically Driven Navigational Locomotion for Cell Delivery in Confined Space","Tang J, Yao C, Gu Z, Jung S, Luo D, Yang D.","Angew Chem Int Ed Engl. 2020 Feb 3;59(6):2490-2495. doi: 10.1002/anie.201913549. Epub 2019 Dec 23.","Tang J","Angew Chem Int Ed Engl","2020","2019/11/27","","","10.1002/anie.201913549"
"29857100","A starch-based stimuli-responsive magnetite nanohydrogel as de novo drug delivery system","Massoumi B, Mozaffari Z, Jaymand M.","Int J Biol Macromol. 2018 Oct 1;117:418-426. doi: 10.1016/j.ijbiomac.2018.05.211. Epub 2018 May 29.","Massoumi B","Int J Biol Macromol","2018","2018/06/02","","","10.1016/j.ijbiomac.2018.05.211"
"38750838","Development of a manganese complex hyaluronic acid hydrogel encapsulating stimuli-responsive Gambogic acid nanoparticles for targeted Intratumoral delivery","Jing Y, Wang C, Li C, Wei Z, Lei D, Chen A, Li X, He X, Cen L, Sun M, Liu B, Xue B, Li R.","Int J Biol Macromol. 2024 Jun;270(Pt 2):132348. doi: 10.1016/j.ijbiomac.2024.132348. Epub 2024 May 18.","Jing Y","Int J Biol Macromol","2024","2024/05/16","","","10.1016/j.ijbiomac.2024.132348"
"24053849","Synthesis and characterization of novel stimuli-responsive hydrogels based on starch and L-aspartic acid","Vakili MR, Rahneshin N.","Carbohydr Polym. 2013 Nov 6;98(2):1624-30. doi: 10.1016/j.carbpol.2013.08.016. Epub 2013 Aug 14.","Vakili MR","Carbohydr Polym","2013","2013/09/24","","","10.1016/j.carbpol.2013.08.016"
"38246461","Evaluation of physiochemical and biomedical properties of psyllium-poly(vinyl phosphonic acid-co-acrylamide)-cl-N,N-methylene bis acrylamide based hydrogels","Sharma P, Singh J, Singh B.","Int J Biol Macromol. 2024 Mar;260(Pt 2):129546. doi: 10.1016/j.ijbiomac.2024.129546. Epub 2024 Jan 19.","Sharma P","Int J Biol Macromol","2024","2024/01/21","","","10.1016/j.ijbiomac.2024.129546"
"16777683","Self assembled magnetic PVP/PVA hydrogel microspheres; magnetic drug targeting of VX2 auricular tumours using pingyangmycin","Adriane K, Huang J, Ding G, Chen J, Liu Y.","J Drug Target. 2006 May;14(4):243-53. doi: 10.1080/10611860600720616.","Adriane K","J Drug Target","2006","2006/06/17","","","10.1080/10611860600720616"
"21137918","Fabrication of magnetite-hydrogel nanocomposites with clustered magnetite cores and poly(N-isopropylacrylamide-co-acrylic acid) shells for drug delivery application","Lim S, Yang D, Lee SW.","J Nanosci Nanotechnol. 2010 Nov;10(11):7295-9. doi: 10.1166/jnn.2010.2863.","Lim S","J Nanosci Nanotechnol","2010","2010/12/09","","","10.1166/jnn.2010.2863"
"40738432","Dual-responsive magnetoliposome-stabilized Pickering emulsion alginate hydrogel beads for oral drug delivery","Sia CS, Bong WA, Goh BH, Chong LH, Tey BT, Low LE.","Int J Biol Macromol. 2025 Sep;321(Pt 3):146291. doi: 10.1016/j.ijbiomac.2025.146291. Epub 2025 Jul 28.","Sia CS","Int J Biol Macromol","2025","2025/07/30","","","10.1016/j.ijbiomac.2025.146291"
"38537849","Evaluating physiochemical characteristics of tragacanth gum-gelatin network hydrogels designed through graft copolymerization technique","Thakur N, Singh B.","Int J Biol Macromol. 2024 May;266(Pt 2):131082. doi: 10.1016/j.ijbiomac.2024.131082. Epub 2024 Mar 25.","Thakur N","Int J Biol Macromol","2024","2024/03/27","","","10.1016/j.ijbiomac.2024.131082"
"34470553","Experimental anti-tumor effect of emodin in suspension - in situ hydrogels formed with self-assembling peptide","Wei W, Tang J, Hu L, Feng Y, Li H, Yin C, Tang F.","Drug Deliv. 2021 Dec;28(1):1810-1821. doi: 10.1080/10717544.2021.1971795.","Wei W","Drug Deliv","2021","2021/09/02","PMC8425708","","10.1080/10717544.2021.1971795"
"24510666","An integrated microrobotic platform for on-demand, targeted therapeutic interventions","Fusco S, Sakar MS, Kennedy S, Peters C, Bottani R, Starsich F, Mao A, Sotiriou GA, Pané S, Pratsinis SE, Mooney D, Nelson BJ.","Adv Mater. 2014 Feb 12;26(6):952-7. doi: 10.1002/adma.201304098. Epub 2013 Nov 4.","Fusco S","Adv Mater","2014","2014/02/11","","","10.1002/adma.201304098"
"30598262","MRI analysis of hydrogel-loaded apatinib for local therapy of hepatocellular carcinoma model in nude mice","Liu Z, Wang C, Wu G, Cheng J.","Biochem Biophys Res Commun. 2019 Feb 5;509(2):529-534. doi: 10.1016/j.bbrc.2018.12.120. Epub 2018 Dec 28.","Liu Z","Biochem Biophys Res Commun","2019","2019/01/02","","","10.1016/j.bbrc.2018.12.120"
"11018555","Cross-linked hyaluronic acid hydrogel films: new biomaterials for drug delivery","Luo Y, Kirker KR, Prestwich GD.","J Control Release. 2000 Oct 3;69(1):169-84. doi: 10.1016/s0168-3659(00)00300-x.","Luo Y","J Control Release","2000","2000/10/06","","","10.1016/s0168-3659(00)00300-x"
"39692188","Localized Microrobotic Delivery of Enzyme-Responsive Hydrogel-Immobilized Therapeutics to Suppress Triple-Negative Breast Cancer","Tian M, Keshavarz M, Demircali AA, Han B, Yang GZ.","Small. 2025 May;21(18):e2408813. doi: 10.1002/smll.202408813. Epub 2024 Dec 18.","Tian M","Small","2025","2024/12/18","PMC12051738","","10.1002/smll.202408813"
"40367204","Development of a Multi-Stimuli-Responsive Magnetic Nanogel-Hydrogel Nanocomposite for Prolonged and Controlled Doxorubicin Release","Rezanejade Bardajee G, Mahmoodian H, Shafiei N, Amiri B.","Bioconjug Chem. 2025 Aug 20;36(8):1604-1627. doi: 10.1021/acs.bioconjchem.5c00083. Epub 2025 May 14.","Rezanejade Bardajee G","Bioconjug Chem","2025","2025/05/14","","","10.1021/acs.bioconjchem.5c00083"
"33387468","Influence of gamma radiation on Amphotericin B incorporated in PVP hydrogel as an alternative treatment for cutaneous leishmaniosis","Oliveira MJA, Villegas GME, Motta FD, Fabela-Sánchez O, Espinosa-Roa A, Fotoran WL, Peixoto JC, Tano FT, Lugão AB, Vásquez PAS.","Acta Trop. 2021 Mar;215:105805. doi: 10.1016/j.actatropica.2020.105805. Epub 2020 Dec 30.","Oliveira MJA","Acta Trop","2021","2021/01/02","","","10.1016/j.actatropica.2020.105805"
"21994074","Pullulan hydrogels improve mesenchymal stem cell delivery into high-oxidative-stress wounds","Wong VW, Rustad KC, Glotzbach JP, Sorkin M, Inayathullah M, Major MR, Longaker MT, Rajadas J, Gurtner GC.","Macromol Biosci. 2011 Nov 10;11(11):1458-66. doi: 10.1002/mabi.201100180. Epub 2011 Oct 12.","Wong VW","Macromol Biosci","2011","2011/10/14","PMC4157905","NIHMS622587","10.1002/mabi.201100180"
"29334109","A multifunctional supramolecular hydrogel: preparation, properties and molecular assembly","Wang L , Shi X , Wu Y , Zhang J , Zhu Y , Wang J .","Soft Matter. 2018 Jan 24;14(4):566-573. doi: 10.1039/c7sm02358h.","Wang L","Soft Matter","2018","2018/01/16","","","10.1039/c7sm02358h"
"31726127","Controlled release of vitamin B(1) and evaluation of biodegradation studies of chitosan and gelatin based hydrogels","Kaur K, Jindal R, Jindal D.","Int J Biol Macromol. 2020 Mar 1;146:987-999. doi: 10.1016/j.ijbiomac.2019.09.223. Epub 2019 Nov 11.","Kaur K","Int J Biol Macromol","2020","2019/11/15","","","10.1016/j.ijbiomac.2019.09.223"
"24157693","Tunable drug-loading capability of chitosan hydrogels with varied network architectures","Tronci G, Ajiro H, Russell SJ, Wood DJ, Akashi M.","Acta Biomater. 2014 Feb;10(2):821-30. doi: 10.1016/j.actbio.2013.10.014. Epub 2013 Oct 21.","Tronci G","Acta Biomater","2014","2013/10/26","PMC4933205","EMS68987","10.1016/j.actbio.2013.10.014"
"41200787","Microfluidics-based fabrication and targeted motion control of multimodal therapeutic hydrogel capsule microrobots","Sheng J, Fang H, Qiao S, Ma L.","J Mater Chem B. 2025 Nov 26;13(46):15067-15076. doi: 10.1039/d5tb00767d.","Sheng J","J Mater Chem B","2025","2025/11/07","","","10.1039/d5tb00767d"
"38847620","Neuro-fuzzy model for predicting insulin delivery from crosslinked agar-carbomer hydrogels","Goudjil H, Rebouh S, Bouhedda M.","Comput Methods Biomech Biomed Engin. 2025 Nov;28(14):2170-2185. doi: 10.1080/10255842.2024.2362863. Epub 2024 Jun 7.","Goudjil H","Comput Methods Biomech Biomed Engin","2025","2024/06/07","","","10.1080/10255842.2024.2362863"
